pais,escritorio_oms,fonte_dos_dados,data_ultima_atualizacao,data_inicio_vacinacao,total_cumulativo_doses_vacina,cumulativo_de_doses_por_100hab,cumulativo_de_pessoas_com_uma_dose,cumulativo_de_pessoas_com_uma_dose_por_100hab,cumulativo_de_pessoas_totalmente_vacinadas,cumulativo_de_pessoas_totalmente_vacinadas_por_100hab,vacinas_usadas,numero_de_tipos_de_vacina_usados,pessoas_com_dose_adicional,pessoas_com_dose_adicional_por_100hab
Afeganistão,EMRO,REPORTING,2023-05-21,2021-02-22,17479379.0,44.901,15203606,39.055,14502241,37.254,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11.0,1223277.0,3.142
Albânia,EURO,REPORTING,2023-05-14,2021-01-13,3080679.0,107.0,1348396,47.379,1277987,44.905,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5,SII - Covishield,Sinovac - CoronaVac",6.0,399190.0,14.027
Argélia,AFRO,REPORTING,2022-09-04,2021-01-30,15267442.0,34.817,7840131,17.879,6481186,14.78,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,SII - Covishield,Sinovac - CoronaVac",4.0,575651.0,1.313
Samoa Americana,WPRO,REPORTING,2023-03-29,2020-12-21,114706.0,207.812,46206,83.711,42479,76.959,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3.0,24160.0,43.77
Andorra,EURO,REPORTING,2023-04-09,2021-01-20,157038.0,203.2,57910,76.02,53496,70.226,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5",4.0,43067.0,56.535
Angola,AFRO,REPORTING,2023-05-07,2021-03-10,25402678.0,77.291,15745756,47.909,8821410,26.84,SII - Covishield,1.0,2026768.0,6.167
Anguilla,AMRO,REPORTING,2023-05-05,2021-02-05,24604.0,164.005,10854,72.35,10380,69.191,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2.0,3046.0,20.304
Antígua e Barbuda,AMRO,REPORTING,2023-05-05,2021-03-01,136512.0,139.399,64290,65.65,62384,63.703,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",6.0,9838.0,10.046
Argentina,AMRO,REPORTING,2022-10-07,2020-12-29,109652736.0,242.617,41324100,91.434,37840119,83.725,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",7.0,30810184.0,68.17
Armênia,EURO,REPORTING,2023-05-14,2021-01-27,2156999.0,72.8,1122040,37.865,996169,33.618,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",10.0,44890.0,1.515
Aruba,AMRO,REPORTING,2023-05-05,2021-02-17,216905.0,203.159,90424,84.694,84253,78.914,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2.0,35659.0,33.399
Austrália,WPRO,REPORTING,2023-03-24,2021-02-21,65492360.0,256.834,22231907,87.184,21648824,84.898,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",5.0,14368201.0,56.346
Áustria,EURO,REPORTING,2023-05-14,2020-12-30,20401515.0,229.2,6899733,77.625,6682197,75.072,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Moderna – Spikevax Bivalent Original/Omicron BA.1,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5,Unknown Vaccine,Valneva - VLA2001",10.0,5405548.0,60.729
Azerbaijão,EURO,REPORTING,2023-05-14,2021-01-20,13822539.0,136.3,5434010,53.594,4886266,48.192,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",5.0,3502265.0,34.542
Bahamas,AMRO,REPORTING,2023-05-05,2021-03-14,366359.0,93.163,174810,44.453,166972,42.46,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",4.0,33717.0,8.574
Bahrein,EMRO,REPORTING,2022-12-21,2020-11-04,3476633.0,204.319,1241174,72.943,1226796,72.098,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11.0,1008663.0,59.278
Bangladesh,SEARO,REPORTING,2023-05-23,2021-01-27,358694968.0,217.801,151327605,91.887,139912306,84.955,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",8.0,67455057.0,40.959
Barbados,AMRO,REPORTING,2023-05-05,2021-01-08,381715.0,132.828,163845,57.014,155036,53.949,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",5.0,62834.0,21.865
Bielorrússia,EURO,REPORTING,2023-04-16,2021-02-03,21205264.0,224.4,6438808,68.14,6354262,67.246,"Beijing CNBG - BBIBP-CorV,Chumakov - Covi-Vac,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Unknown Vaccine",5.0,5699425.0,60.316
Bélgica,EURO,REPORTING,2023-05-14,2020-12-30,29117995.0,252.7,9254335,80.316,9158096,79.481,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",4.0,7244556.0,62.873
Belize,AMRO,REPORTING,2023-05-05,2021-03-01,510696.0,128.436,258443,64.996,221402,55.681,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",5.0,50177.0,12.619
Benin,AFRO,REPORTING,2022-12-18,2021-03-29,4232541.0,34.913,3697190,30.497,2742837,22.625,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",5.0,,
Bermuda,AMRO,REPORTING,2023-05-05,2021-01-11,132042.0,212.037,48554,77.97,47657,76.529,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3.0,31829.0,51.112
Butão,SEARO,REPORTING,2022-10-30,2021-03-27,2011426.0,260.68,699116,90.605,677669,87.826,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",5.0,634641.0,82.249
Bolivia (Plurinational State of),AMRO,REPORTING,2023-05-05,2021-01-30,15966592.0,136.782,7488170,64.149,6291246,53.896,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",7.0,2474734.0,21.2
Bonaire,AMRO,REPORTING,2023-05-05,,43070.0,205.929,17460,83.481,16189,77.404,NaN,,8125.0,38.848
"Bonaire, Santo Eustáquio and Sabá",AMRO,OWID,2021-09-01,,35845.0,137.934,19109,73.533,16736,64.401,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",2.0,,
Bósnia e Herzegovina,EURO,REPORTING,2022-01-29,,1924950.0,58.7,943394,28.755,846080,25.789,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",4.0,,
Botsuana,AFRO,REPORTING,2023-05-07,2021-03-26,3171667.0,134.871,1951054,82.966,1663490,70.738,"Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",6.0,507654.0,21.587
Brasil,AMRO,REPORTING,2023-05-05,2021-01-17,509835734.0,239.856,187249676,88.093,170557580,80.24,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",5.0,109913632.0,51.71
Ilhas Virgens Britânicas,AMRO,REPORTING,2023-05-05,2021-02-11,41453.0,137.094,19466,64.378,18261,60.393,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",3.0,3726.0,12.323
